transaction_id,amount,is_new_device,international,is_night,transactions_last_1h,device_risk_score,merchant_risk_score,avg_amount_7d,fraud_label
TXN001,150.50,0,0,0,2,20,15,145.00,0
TXN002,5000.00,1,1,1,8,85,75,200.00,1
TXN003,75.25,0,0,0,1,10,5,80.00,0
TXN004,200.00,1,0,1,6,65,45,150.00,1
TXN005,45.99,0,0,0,2,15,10,50.00,0
TXN006,1200.00,0,1,0,5,55,60,300.00,1
TXN007,88.50,0,0,1,3,25,20,90.00,0
TXN008,3500.00,1,1,1,10,90,85,250.00,1
TXN009,60.00,0,0,0,1,5,8,65.00,0
TXN010,950.00,1,0,1,7,70,50,200.00,1
TXN011,120.00,0,0,0,2,20,15,125.00,0
TXN012,2800.00,1,1,0,9,80,70,300.00,1
TXN013,35.50,0,0,1,1,10,5,40.00,0
TXN014,4200.00,1,1,1,11,95,90,400.00,1
TXN015,92.75,0,0,0,2,15,10,95.00,0
TXN016,1500.00,1,0,1,8,75,55,250.00,1
TXN017,55.00,0,0,0,1,8,5,60.00,0
TXN018,3100.00,1,1,1,10,88,80,350.00,1
TXN019,110.25,0,0,1,3,20,15,115.00,0
TXN020,2300.00,1,1,0,7,70,65,300.00,1
